Question,Answer
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
Are beetles insects?,Yes
Are Canada 's two official languages English and French?,yes
What is the population of Egypt?,more than 78 million
What is the biggest city in Finland?,Greater Helsinki
What is the national currency of Liechtenstein?,Swiss franc
Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.
When did Tesla demonstrate wireless communication (radio)?,1893
What are violins made of?,different types of wood
How long is a leopard's tail?,60 to 110cm
